Generation,Min,Max,Mean,Evals
Trial 0 final result: after 50000 generations the shortest path is: 803
Trial 0 Shortest path: 45, 27, 52, 34, 46, 4, 75, 76, 68, 6, 51, 17, 58, 10, 72, 39, 9, 40, 12, 26, 7, 35, 14, 59, 19, 67, 23, 56, 41, 42, 64, 43, 49, 24, 18, 50, 63, 22, 28, 61, 69, 71, 60, 70, 20, 36, 47, 21, 74, 48, 29, 30, 2, 62, 73, 33, 16, 3, 32, 38, 54, 13, 57, 15, 37, 5, 8, 53, 11, 66, 65, 31, 55, 25, 44, 
Trial 0 begin summary section
689,1721,950,1348.49,0
690,1741,950,1346.18,0
691,1742,950,1349.55,0
692,1782,950,1333.31,0
693,1790,950,1317.12,0
694,1703,950,1334.73,0
695,1818,950,1327.33,0
696,1883,950,1333.48,0
697,1850,950,1337.44,0
698,1818,950,1349.5,0
699,1813,950,1354.21,0
700,1829,950,1365.66,0
701,1658,950,1376.75,0
702,1665,950,1367.75,0
703,1613,950,1368.44,0
704,1603,950,1361.16,0
705,1634,950,1354.59,0
706,1658,950,1353.99,0
707,1656,950,1371.52,0
708,1686,950,1377.23,0
709,1679,950,1377.3,0
710,1670,950,1348.93,0
711,1683,941,1359.09,0
712,1675,941,1355.89,0
713,1672,941,1350.03,0
714,1648,941,1325.45,0
715,1619,941,1316.36,0
716,1661,941,1337.62,0
717,1690,941,1313.48,0
718,1602,941,1318.27,0
719,1665,941,1320.8,0
720,1660,941,1322.27,0
721,1680,941,1336.84,0
722,1628,941,1335.72,0
723,1619,941,1336.47,0
724,1621,941,1338.36,0
725,1640,941,1332.23,0
726,1625,941,1339.17,0
727,1641,941,1340.48,0
728,1659,941,1354.14,0
729,1641,941,1346.3,0
730,1645,941,1336.47,0
731,1651,941,1337.87,0
732,1651,941,1344.94,0
733,1672,941,1339.05,0
734,1666,941,1356.76,0
735,1658,941,1333.8,0
736,1694,941,1322.34,0
737,1711,941,1336.97,0
738,1765,941,1345.08,0
739,1797,941,1343.86,0
740,1742,941,1341.53,0
741,1765,941,1338.12,0
742,1819,941,1329.25,0
743,1806,941,1304.78,0
744,1658,941,1292.05,0
745,1630,941,1290.92,0
746,1675,941,1315.7,0
747,1706,941,1307.75,0
748,1685,941,1302.55,0
749,1683,941,1300.82,0
750,1717,941,1300.13,0
751,1743,941,1297.53,0
752,1706,941,1305.75,0
753,1724,941,1301.95,0
754,1677,941,1300.98,0
755,1690,941,1306.84,0
756,1710,941,1301.24,0
757,1637,941,1318.87,0
758,1620,941,1324.75,0
759,1657,941,1327.45,0
760,1695,941,1327.67,0
761,1631,941,1328.53,0
762,1688,941,1312.3,0
763,1690,941,1335.55,0
764,1746,941,1320.28,0
765,1746,941,1318.29,0
766,1703,941,1308.19,0
767,1729,941,1310.42,0
768,1772,941,1300.17,0
769,1822,941,1296.21,0
770,1858,941,1288.76,0
771,1769,941,1303.14,0
772,1833,941,1314.36,0
773,1816,941,1306.43,0
774,1831,941,1326.31,0
775,1787,941,1315.64,0
776,1819,941,1338.34,0
777,1621,941,1355.05,0
778,1667,941,1364.82,0
779,1663,941,1371.52,0
780,1653,941,1341.51,0
781,1634,941,1354.94,0
782,1663,941,1371.59,0
783,1676,941,1374.36,0
784,1682,941,1349.47,0
785,1677,941,1349.12,0
786,1686,941,1336.61,0
787,1702,941,1333.85,0
788,1733,941,1363.59,0
789,1690,941,1374.77,0
790,1713,941,1358.13,0
791,1735,941,1369.28,0
792,1812,941,1376.92,0
793,1840,941,1380.74,0
794,1859,941,1390.98,0
795,1749,941,1394.04,0
796,1784,941,1394.47,0
797,1787,941,1389.1,0
798,1874,941,1374.87,0
799,1749,941,1366.15,0
800,1676,941,1368.56,0
801,1715,941,1377.84,0
802,1713,941,1394.9,0
803,1672,941,1369.44,0
804,1664,941,1370.67,0
805,1651,941,1369,0
806,1628,941,1352.61,0
807,1648,941,1364.45,0
808,1699,941,1373.78,0
809,1713,941,1361.1,0
810,1740,941,1366.04,0
811,1725,941,1337.39,0
812,1671,941,1353.85,0
813,1695,941,1361.39,0
814,1726,941,1359.02,0
815,1719,941,1365.48,0
816,1736,941,1376.1,0
817,1594,941,1370.42,0
818,1689,941,1372.53,0
819,1693,941,1380.5,0
820,1666,941,1368.94,0
821,1677,941,1342.49,0
822,1686,941,1335.75,0
823,1675,941,1310.1,0
824,1637,941,1299.47,0
825,1716,941,1289.6,0
826,1709,941,1297.67,0
827,1845,941,1280.34,0
828,1874,941,1289.43,0
829,1855,941,1295.18,0
830,1883,941,1297.83,0
831,1648,941,1311.74,0
832,1698,941,1323.61,0
833,1701,941,1310.84,0
834,1590,941,1327.3,0
835,1601,941,1328.72,0
836,1615,941,1350.09,0
837,1601,941,1354.24,0
838,1616,941,1351.55,0
839,1586,941,1362.94,0
840,1615,941,1367.06,0
841,1599,941,1362.57,0
842,1671,941,1362.59,0
