Generation,Min,Max,Mean
677,-nan(ind),-nan(ind),-nan(ind)
678,-nan(ind),-nan(ind),-nan(ind)
679,-nan(ind),-nan(ind),-nan(ind)
680,-nan(ind),-nan(ind),-nan(ind)
681,-nan(ind),-nan(ind),-nan(ind)
682,-nan(ind),-nan(ind),-nan(ind)
683,-nan(ind),-nan(ind),-nan(ind)
684,-nan(ind),-nan(ind),-nan(ind)
685,-nan(ind),-nan(ind),-nan(ind)
686,-nan(ind),-nan(ind),-nan(ind)
687,-nan(ind),-nan(ind),-nan(ind)
688,-nan(ind),-nan(ind),-nan(ind)
689,-nan(ind),-nan(ind),-nan(ind)
